南部,中部,北部,東部,離島
0.005520599717584517,0.08684398945812957,0.007039644312708409,0.046182294587857046,0.0013976240391334732
0.04868136888445884,0.13794616333805584,0.0322341608002964,0.09331376611125734,0.033193570929419984
0.10301623889027328,0.21385677071431836,0.062245276028158575,0.15843650480229582,0.11215932914046121
0.3153106570313149,0.4535533110918149,0.08361121402988762,0.38443198406156487,0.17435359888190075
0.5196683694659026,0.7279694712307482,0.1409163887859701,0.6238189203483253,0.2781271837875611
0.6562339064706372,0.7709824352939384,0.15110534765962702,0.7136081708822878,0.3177847658979734
0.5982214054323449,0.7549670185701446,0.11769791280721255,0.6765942120012447,0.3151642208245982
0.5679499958468311,0.6852794662035556,0.07891811782141533,0.6266147310251934,0.2917540181691125
0.38858190049007396,0.5465121947503923,0.09694948746449303,0.46754704762023314,0.2398672257162823
0.2642515989700141,0.3733421690050729,0.03001111522786217,0.31879688398754347,0.15670859538784068
0.0837309992524296,0.1845543317642399,0.007101395578609362,0.13414266550833476,0.04472396925227114
0.0025168203339147772,0.09809880718431516,0.0006175126590095097,0.050307813759114965,0.0015723270440251573
0.00016820333914776975,0.09644897399570404,0.0003705075954057058,0.048308588667425906,0.0
0.00016820333914776975,0.09661350029706138,0.0003705075954057058,0.048390851818104576,0.0
